,0
"#Relocated_Scooters_((15,_19),_(18,_0))",0.0
"#Relocated_Scooters_((15,_19),_(19,_0))",0.0
"#Relocated_Scooters_((15,_19),_(2,_0))",0.0
"#Relocated_Scooters_((15,_19),_(3,_0))",0.0
"#Relocated_Scooters_((15,_19),_(4,_0))",0.0
"#Relocated_Scooters_((15,_19),_(5,_0))",0.0
"#Relocated_Scooters_((15,_19),_(6,_0))",0.0
"#Relocated_Scooters_((15,_19),_(7,_0))",0.0
"#Relocated_Scooters_((15,_19),_(8,_0))",0.0
"#Relocated_Scooters_((15,_19),_(9,_0))",0.0
"#Relocated_Scooters_((16,_19),_(0,_0))",0.0
"#Relocated_Scooters_((16,_19),_(1,_0))",0.0
"#Relocated_Scooters_((16,_19),_(10,_0))",0.0
"#Relocated_Scooters_((16,_19),_(11,_0))",0.0
"#Relocated_Scooters_((16,_19),_(12,_0))",0.0
"#Relocated_Scooters_((16,_19),_(13,_0))",0.0
"#Relocated_Scooters_((16,_19),_(14,_0))",0.0
"#Relocated_Scooters_((16,_19),_(15,_0))",0.0
"#Relocated_Scooters_((16,_19),_(17,_0))",0.0
"#Relocated_Scooters_((16,_19),_(18,_0))",0.0
"#Relocated_Scooters_((16,_19),_(19,_0))",0.0
"#Relocated_Scooters_((16,_19),_(2,_0))",0.0
"#Relocated_Scooters_((16,_19),_(3,_0))",0.0
"#Relocated_Scooters_((16,_19),_(4,_0))",0.0
"#Relocated_Scooters_((16,_19),_(5,_0))",0.0
"#Relocated_Scooters_((16,_19),_(6,_0))",0.0
"#Relocated_Scooters_((16,_19),_(7,_0))",0.0
"#Relocated_Scooters_((16,_19),_(8,_0))",0.0
"#Relocated_Scooters_((16,_19),_(9,_0))",0.0
"#Relocated_Scooters_((17,_19),_(0,_0))",0.0
"#Relocated_Scooters_((17,_19),_(1,_0))",0.0
"#Relocated_Scooters_((17,_19),_(10,_0))",0.0
"#Relocated_Scooters_((17,_19),_(11,_0))",0.0
"#Relocated_Scooters_((17,_19),_(12,_0))",0.0
"#Relocated_Scooters_((17,_19),_(13,_0))",0.0
"#Relocated_Scooters_((17,_19),_(14,_0))",0.0
"#Relocated_Scooters_((17,_19),_(15,_0))",0.0
"#Relocated_Scooters_((17,_19),_(16,_0))",0.0
"#Relocated_Scooters_((17,_19),_(18,_0))",0.0
"#Relocated_Scooters_((17,_19),_(19,_0))",0.0
"#Relocated_Scooters_((17,_19),_(2,_0))",0.0
"#Relocated_Scooters_((17,_19),_(3,_0))",0.0
"#Relocated_Scooters_((17,_19),_(4,_0))",0.0
"#Relocated_Scooters_((17,_19),_(5,_0))",0.0
