Row Labels,Balgreen and Roseburn,Blackhall,Broughton North and Powderhall,Broughton South,Bruntsfield,Comely Bank,Dalry and Fountainbridge,Drylaw,Gorgie East,Hillside and Calton Hill,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Merchiston and Greenhill,New Town East and Gayfield,Newington and Dalkeith Road,"Old Town, Princes Street and Leith Street",Prestonfield,Stockbridge,Tollcross
Balgreen and Roseburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blackhall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Broughton North and Powderhall,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,2
Broughton South,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,1
Bruntsfield,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,7
Comely Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
Dalry and Fountainbridge,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,7
Drylaw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgie East,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3
Hillside and Calton Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,2
Marchmont East and Sciennes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,3
Marchmont West,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,3
Meadowbank and Abbeyhill North,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,1
Merchiston and Greenhill,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4
New Town East and Gayfield,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2
Newington and Dalkeith Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"Old Town, Princes Street and Leith Street",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3
Prestonfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Stockbridge,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,5
Tollcross,0,0,0,0,1,0,1,0,0,0,1,1,0,2,1,0,8,0,1,0
